English,Marathi
I'm right.,मी बरोबर आहे.
I'm young.,मी तरूण आहे.
It burned.,जळलं.
It burned.,जळला.
It burned.,जळली.
It rained.,पाऊस पडला.
It snowed.,बर्फ पडला.
It's 7:45.,७:४५ वाजले आहेत.
It's cold.,थंड आहे.
It's easy.,सोपं आहे.
It's food.,खाणं आहे.
It's good.,चांगलंय.
It's here.,इथे आहे.
It's here.,ते इथं आहे.
It's mine.,माझं आहे.
It's ours.,आमचं आहे.
It's ours.,आपलं आहे.
It's sand.,वाळू आहे.
It's time.,वेळ झाला आहे.
It's work.,काम आहे.
Keep them.,ठेव.
Keep them.,ते ठेव.
Leave now.,आत्ताच नीघ.
Leave now.,आत्ताच निघा.
Let me go!,मला जाऊ द्या!
Let me go!,मला जाऊ दे!
Let me go.,मला जाऊ द्या.
Let me go.,मला जाऊ दे.
Let me in.,मला आत येऊ दे.
Let me in.,मला आत येऊ द्या.
Let us go.,आम्हाला सोड.
Let us go.,आम्हाला सोडा.
Let us go.,आम्हाला जाऊ द्या.
Let us go.,आम्हाला जाऊ दे.
Let us in.,आम्हाला आत येऊ द्या.
Let us in.,आम्हाला आत येऊ दे.
Let's ask.,विचारू या.
Look back!,पाठी बघ!
Look back!,मागे बघ!
Look back.,पाठी बघ.
Look back.,मागे बघ.
Read this.,हे वाच.
Read this.,हे वाचा.
Search me.,माझी तलाशी घ्या.
Search me.,माझी तलाशी घे.
See above.,वर पहा.
See below.,खाली पाहा.
She cried.,ती रडली.
She cried.,त्या रडल्या.
She tried.,तिने प्रयत्न केला.
She walks.,ती चालते.
She walks.,त्या चालतात.
Sign here.,इथे सही करा.
Sign here.,इथे सही कर.
Sit there.,तिथे बस.
Sit there.,तिथे बसा.
Start now.,आता सुरू करा.
Start now.,आता सुरू कर.
Stay away.,दूर रहा.
Stay back.,मागे राहा.
Stay calm.,शांत राहा.
Stay home.,घरी राहा.
Stay thin.,बारीकच रहा.
Stop them.,त्यांना थांबव.
Stop them.,त्यांना थांबवा.
Take care!,काळजी घे!
Take care!,काळजी घ्या!
Take care.,काळजी घे.
Take care.,काळजी घ्या.
Take mine.,माझं घे.
Take mine.,माझा घे.
Take mine.,माझी घे.
Take mine.,माझं घ्या.
Take mine.,माझी घ्या.
Take mine.,माझा घ्या.
Take this.,हे घे.
Take this.,हे घ्या.
Take this.,हा घे.
Take this.,हा घ्या.
Take this.,ही घे.
Take this.,ही घ्या.
Thank you.,धन्यवाद.
That's it.,बरोब्बर.
That's it.,तेच.
They fell.,ते पडले.
They fell.,त्या पडल्या.
They left.,ते निघाले.
They left.,त्या निघाल्या.
They lied.,ते खोटं बोलले.
They lied.,त्या खोटं बोलल्या.
They lost.,ते हरले.
They lost.,त्या हरल्या.
Tom began.,टॉमने सुरूवात केली.
Tom cried.,टॉम रडला.
Tom drank.,टॉम प्यायला.
Tom knits.,टॉम विणतो.
Tom knows.,टॉमला माहिती आहे.
Tom moved.,टॉम हलला.
Tom spoke.,टॉम बोेलला.
Tom tried.,टॉमने प्रयत्न केला.
Tom tried.,टॉमने करून बघितलं.
Tom tries.,टॉम प्रयत्न करतो.
Tom voted.,टॉमने मत दिलं.
Tom voted.,टॉमने मतदान केलं.
Tom walks.,टॉम चालतो.
Tom waved.,टॉमने हात हलवला.
Tom works.,टॉम काम करतो.
Try again.,पुन्हा प्रयत्न कर.
Try again.,पुन्हा प्रयत्न करा.
Try it on.,घालून बघ.
Try it on.,घालून बघा.
Wait here.,इथे थांब.
Wait here.,इथे थांबा.
Watch Tom.,टॉमला बघ.
Watch Tom.,टॉमला बघा.
We fought.,आम्ही लढलो.
We fought.,आपण लढलो.
We saw it.,आम्ही बघितलं.
We saw it.,आम्ही पाहिलं.
We saw it.,आपण बघितलं.
We saw it.,आपण पाहिलं.
We saw it.,आम्ही ते बघितलं.
We saw it.,आपण ते बघितलं.
We talked.,आम्ही बोललो.
We waited.,आम्ही थांबलो.
We waited.,आपण थांबलो.
We waited.,आम्ही वाट बघितली.
We waited.,आपण वाट बघितली.
We're shy.,आम्ही लाजाळू आहोत.
We're shy.,आपण लाजाळू आहोत.
Well done!,शाब्बास!
What's up?,काय चाललंय?
What's up?,वर काय आहे?
What's up?,कसं काय?
Who is he?,तो कोण आहे?
Who is he?,ते कोण आहेत?
Who is it?,कोण आहे?
Who knows?,कोणास ठाऊक?
Who knows?,कोणाला माहीत आहे?
Who'll go?,कोण जाईल?
Who's Tom?,टॉम कोण आहे?
Who's she?,ती कोण आहे?
Who's she?,त्या कोण आहेत?
Who's she?,ती कोण?
Who's she?,त्या कोण?
You drive.,तू चालव.
You drive.,तुम्ही चालवा.
You idiot!,मूर्खा!
You tried.,तू प्रयत्न केलास.
You tried.,तुम्ही प्रयत्न केलात.
Are you OK?,ठीक आहेस का?
Are you OK?,बरा आहेस का?
Are you OK?,बरी आहेस का?
Ask anyone.,कोणालाही विचार.
Be careful!,सावध रहा!
Be on time.,वेळेवर पोहोच.
Be on time.,वेळेवर पोहोचा.
Birds sing.,पक्षी गातात.
Bring wine.,वाईन आण.
Bring wine.,वाईन आणा.
Come again.,पुन्हा या.
Come again.,पुन्हा ये.
Come on in.,आत ये.
Come quick!,लवकर ये!
Come quick!,लवकर या!
Definitely!,नक्कीच!
Did we win?,आपण जिंकलो का?
Did we win?,आम्ही जिंकलो का?
Do men cry?,माणसं रडतात का?
Do men cry?,पुरुष रडतात का?
Don't look.,बघू नकोस.
Don't look.,बघू नका.
Don't move.,हलू नकोस.
Don't move.,हलू नका.
Don't talk!,बोलू नकोस!
Don't talk!,बोलू नका!
Don't talk.,बोलू नका.
Don't talk.,बोलू नकोस.
Fill it up.,भरून टाक.
Fire burns.,आग जळते.
Fire burns.,आग जाळते.
Forget Tom.,टॉमला विसर.
Forget Tom.,टॉमला विसरा.
Forget Tom.,टॉमला विसरून जा.
Forget him.,त्याला विसर.
Forget him.,त्याला विसरून जा.
Forget him.,त्यांना विसर.
Forget him.,त्यांना विसरून जा.
God exists.,देव असतो.
He is here!,तो इथे आहे!
He is here!,इथे आहे!
He is here!,इथे आहे तो!
He is late.,त्याला उशीर झाला आहे.
He is nice.,तो चांगला आहे.
He is nice.,ते चांगले आहेत.
He laughed.,तो हसला.
He laughed.,ते हसले.
He's Swiss.,तो स्विस आहे.
He's smart.,तो हुशार आहे.
He's smart.,ते हुशार आहेत.
Hold still.,हलू नकोस.
Hold still.,हलू नका.
I am a man.,मी माणुस आहे.
I am a man.,मी पुरुष आहे.
I am ready.,मी तयार आहे.
I can read.,मला वाचता येतं.
I can read.,मी वाचू शकतो.
I can read.,मी वाचू शकते.
I can swim.,मला पोहता येतं.
I can swim.,मी पोहू शकतो.
I can swim.,मी पोहू शकते.
I can walk.,मी चालू शकतो.
I can walk.,मी चालू शकते.
I eat here.,मी इथे खातो.
I eat here.,मी इथे जेवतो.
I eat meat.,मी मांस खातो.
I eat meat.,मी मांस खाते.
I eat rice.,मी भात खातो.
I eat rice.,मी भात खाते.
I help Tom.,मी टॉमची मदत करतो.
I help Tom.,मी टॉमची मदत करते.
I just ate.,माझं आत्ताच खाऊन झालं आहे.
I like him.,मला तो आवडतो.
I like him.,मला ते आवडतात.
I like tea.,मला चहा आवडतो.
I like you.,मला तू आवडतोस.
I like you.,मला तू आवडतेस.
I like you.,मला तुम्ही आवडता.
I love you.,माझं तुझ्यावर प्रेम आहे.
I love you.,माझं तुमच्यावर प्रेम आहे.
I made tea.,मी चहा बनवला.
I miss you.,मला तुझी आठवण येते.
I miss you.,मला तुमची आठवण येते.
I need you.,मला तुझी गरज आहे.
I need you.,मला तुमची गरज आहे.
I ran away.,मी पळून गेलो.
I ran away.,मी पळून गेले.
I remember.,मला आठवतं.
I remember.,मला आठवतो.
I remember.,मला आठवते.
I screamed.,मी किंचाळलो.
I screamed.,मी किंचाळले.
I see that.,ते मला दिसतंय.
I see them.,मला ते दिसतात.
I see them.,मला त्या दिसतात.
I see them.,मी त्यांना बघतो.
I see them.,मी त्यांना बघते.
I see them.,मी त्यांना पाहतो.
I see them.,मी त्यांना पाहते.
I shot Tom.,मी टॉमला गोळी मारली.
I want Tom.,मला टॉम हवाय.
I want Tom.,मला टॉम हवे आहेत.
I want you.,मला तुम्ही हवे आहात.
I want you.,मला तू हवा आहेस.
I want you.,मला तू हवी आहेस.
I was good.,मी चांगला होतो.
I was good.,मी चांगली होते.
I was late.,मला उशीर झाला होता.
I was sick.,मी आजारी होतो.
I was sick.,मी आजारी होते.
I work out.,मी व्यायाम करतो.
I work out.,मी व्यायाम करते.
I'll leave.,मी निघेन.
I'll start.,मी सुरुवात करेन.
I'll start.,मी सुरुवात करतो.
I'll start.,मी सुरुवात करते.
I'm 30 now.,मी आता ३० वर्षांचा आहे.
I'm 30 now.,मी आता ३० वर्षांची आहे.
I'm a liar.,मी खोटारडा आहे.
I'm a liar.,मी खोटारडी आहे.
I'm a poet.,मी कवी आहे.
I'm coming.,मी येतोय.
I'm coming.,मी येतेय.
I'm faster.,मी जास्त वेगवान आहे.
I'm hungry!,मला भूक लागली आहे!
I'm hungry.,मला भूक लागली आहे.
I'm scared.,मी घाबरलोय.
I'm scared.,मी घाबरले आहे.
I'm sleepy!,मला झोप आली आहे!
I'm so fat.,मी किती जाडा आहे.
I'm so fat.,मी किती जाडी आहे.
I'm trying.,मी प्रयत्न करतोय.
I'm trying.,मी प्रयत्न करतेय.
Is Tom big?,टॉम मोठा आहे का?
Is he tall?,तो उंच आहे का?
Is he tall?,ते उंच आहेत का?
Is it done?,झालंय का?
Is it free?,फुकटात आहे का?
Is it free?,मुक्त आहे का?
Is it hard?,कठीण आहे का?
Is it here?,इथे आहे का?
Is it nice?,चांगलं आहे का?
Is it time?,वेळ झाला आहे का?
Is it true?,खरं आहे का?
Is that so?,असं का?
Is this it?,हेच का?
Is this it?,एवढच का?
Is this it?,हेच आहे का?
Is this it?,एवढच आहे का?
It is 7:45.,७:४५ वाजले आहेत.
It was big.,मोठं होतं.
It was big.,मोठा होता.
It was big.,मोठी होती.
It'll burn.,जळेल.
It's alive.,जिवंत आहे.
It's my CD.,माझी सीडी आहे.
It's my CD.,ती माझी सीडी आहे.
It's night.,रात्र आहे.
It's ready.,तयार आहे.
It's sweet.,गोड आहे.
It's white.,सफेद आहे.
It's white.,पांढरं आहे.
It's white.,पांढरा आहे.
It's white.,पांढरी आहे.
It's yours.,तुझंय.
It's yours.,तुझं आहे.
It's yours.,तुमचं आहे.
It's yours.,आपलंच आहे.
Jesus wept.,येशू रडला.
Keep quiet!,शांत हो!
Keep quiet!,शांत व्हा!
Keep quiet!,शांत राहा!
Keep quiet.,शांत हो.
Keep quiet.,शांत व्हा.
Keep quiet.,शांत राहा.
Let Tom go.,टॉमला सोड.
Let Tom go.,टॉमला सोडा.
Let Tom go.,टॉमला जाऊ दे.
Let Tom go.,टॉमला जाऊ द्या.
Let Tom in.,टॉमला आत येऊ दे.
Let Tom in.,टॉमला आत येऊ द्या.
Let him go!,सोडा त्याला!
Let him go!,सोडा त्यांना!
Let me see.,मला बघू दे.
Let me see.,मला बघू द्या.
Let's chat.,गप्पा मारूया.
Let's kiss.,किस करूया.
Let's sing.,गाऊया.
Let's talk.,बोलूया.
Look again.,परत बघ.
Look again.,परत बघा.
Look ahead.,पुढे बघ.
Look ahead.,समोर बघ.
Look ahead.,समोर बघा.
Look at me.,माझ्याकडे बघ.
Look at me.,माझ्याकडे बघा.
Look there.,तिथे बघ.
Look there.,तिथे बघा.
Love lasts.,प्रेम टिकतं.
Never mind!,सोडा!
Never mind!,सोड!
Never mind!,जाऊ दे!
Never mind!,जाऊ द्या!
No one ran.,कोणीही धावलं नाही.
Now try it.,आता करून बघ.
Now try it.,आता करून बघा.
Quiet down.,शांत हो.
Quiet down.,शांत व्हा.
She is old.,ती म्हातारी आहे.
She is old.,ती वयस्कर आहे.
Smell this.,याचा वास घे.
Smell this.,याचा वास घ्या.
Stand back!,पाठी हो!
Stand back!,पाठी व्हा!
Start here.,इथून सुरुवात कर.
Start here.,इथून सुरू कर.
Start here.,इथून सुरूवात करा.
Start here.,इथून सुरू करा.
Start here.,इथे सुरू कर.
Start here.,इथे सुरू करा.
Stay alert.,जागृत रहा.
Stay alert.,जागृत रहावे.
Stay still.,स्थिर रहा.
Step aside.,बाजूला व्हा!
Step aside.,बाजूला हो!
Study hard.,मेहनतीने अभ्यास कर.
Study hard.,मेहनतीने अभ्यास करा.
Take a bus.,बस पकड.
Take a bus.,बस पकडा.
Take a bus.,एखादी बस पकड.
Take these.,हे घे.
Take these.,हे घ्या.
Take these.,ह्या घे.
Take these.,ह्या घ्या.
Talk to me.,बोल माझ्याशी.
Talk to us.,आमच्याबरोबर बोल.
Taste this.,याची चव घे.
Taste this.,याची चव घ्या.
That a boy!,शाब्बास!
That's Tom.,तो टॉम आहे.
That's Tom.,तो टॉम.
That's wet.,ते ओलं आहे.
They stood.,त्या उभ्या राहिल्या.
They stood.,ते उभे राहिले.
They tried.,त्यांनी प्रयत्न केला.
This is me.,हा मी.
This is me.,ही मी.
Time is up.,वेळ समाप्त.
Time is up.,वेळ संपली.
Tom bit me.,टॉमने मला चावलं.
Tom burped.,टॉमने ढेकर दिला.
Tom called.,टॉमने फोन केला.
Tom called.,टॉमने बोलवले.
Tom danced.,टॉम नाचला.
Tom drinks.,टॉम पितो.
Tom failed.,टॉम अपयशी ठरला.
Tom failed.,टॉम फेल झाला.
Tom forgot.,टॉम विसरला.
Tom fought.,टॉम लढला.
Tom got it.,टॉमला समजलं.
Tom got it.,टॉमला मिळालं.
Tom helped.,टॉमने मदत केली.
Tom is fat.,टॉम जाडा आहे.
Tom is ill.,टॉम आजारी आहे.
Tom is out.,टॉम बाहेर आहे.
Tom is out.,टॉम आउट झाला आहे.
Tom jumped.,टॉमने उडी मारली.
Tom looked.,टॉमने बघितलं.
Tom met me.,टॉमला मी भेटलो.
Tom met me.,टॉमला मी भेटले.
Tom moaned.,टॉम कण्हला.
Tom phoned.,टॉमने फोन केला.
Tom saw me.,टॉमने मला पाहिलं.
Tom saw me.,टॉमने मला बघितलं.
Tom shaved.,टॉमने दाढी केली.
Tom snores.,टॉम घोरतो.
Tom talked.,टॉम बोलला.
Tom waited.,टॉम थांबला.
Tom waited.,टॉमने वाट पाहिली.
Tom yawned.,टॉमने आळस दिली.
Tom yelled.,टॉम ओरडला.
Tom'll die.,टॉम मरेल.
Tom's deaf.,टॉम बहिरा आहे.
Tom's sick.,टॉम आजारी आहे.
Tom's ugly.,टॉम कुरूप आहे.
Turn right.,उजवीकडे वळ.
Turn right.,उजवीकडे वळा.
Watch this.,हे बघ.
Watch this.,हे बघा.
We are men.,आम्ही माणसं आहोत.
We are men.,आपण माणसं आहोत.
We had fun.,आम्ही मजा केली.
We had fun.,आपण मजा केली.
We laughed.,आम्ही हसलो.
We laughed.,आपण हसलो.
We like it.,आम्हाला आवडतं.
We like it.,आम्हाला आवडते.
We like it.,आम्हाला आवडतो.
We like it.,आपल्याला आवडतं.
We like it.,आपल्याला आवडतो.
We like it.,आपल्याला आवडती.
We want it.,आम्हाला ते हवं आहे.
We want it.,आम्हाला हवं आहे.
We want it.,आपल्याला ते हवं आहे.
We'll help.,आम्ही मदत करू.
We'll help.,आपण मदत करू.
We'll sing.,आम्ही गाऊ.
We'll sing.,आपण गाऊ.
We'll wait.,आम्ही थांबू.
We'll wait.,आपण थांबू.
We'll work.,आम्ही काम करू.
We're back.,आम्ही परत आलो आहोत.
We're back.,आपण परत आलो आहोत.
We're boys.,आम्ही मुलं आहोत.
We're boys.,आपण मुलं आहोत.
We're fine.,आम्ही बरे आहोत.
We're fine.,आपण बरे आहोत.
We're fine.,आम्ही बर्‍या आहोत.
We're fine.,आपण बर्‍या आहोत.
Where am I?,मी कुठे आहे?
Who are we?,आपण कोण आहोत?
Who are we?,आम्ही कोण आहोत?
Who did it?,कोणी केलं?
Who has it?,कोणाकडे आहे?
Who has it?,ते कोणाकडे आहे?
Who is Tom?,टॉम कोण आहे?
Who is she?,ती कोण आहे?
Who is she?,त्या कोण आहेत?
Who phoned?,कोणी फोन केला?
Who talked?,कोण बोललं?
Who was he?,तो कोण होता?
Who was he?,ते कोण होते?
Who was it?,कोण होतं?
Who yelled?,कोण ओरडलं?
Who's here?,कोण आहे इथे?
Who's that?,ती कोण आहे?
Who's that?,तो कोण?
